"","ï..No","P_Hse_Age","P_DistMRT","P_CntStores","P_Lat","P_Lon","Y_PriceArea","Predict4"
"2",2,19.5,306.5947,9,24.98034,121.53951,42.2,50.4730193138242
"4",4,13.3,561.9845,5,24.98746,121.54391,54.8,47.5654523645846
"5",5,5,390.5684,5,24.97937,121.54245,43.1,44.766274264268
"8",8,20.3,287.6025,6,24.98042,121.54228,46.7,46.5735466725166
"11",11,34.8,405.2134,1,24.97349,121.53372,41.4,34.7580470128669
"13",13,13,492.2313,5,24.96515,121.53737,39.3,39.2394226506341
"16",16,35.7,579.2083,2,24.9824,121.54619,50.5,41.993129935815
"20",20,1.5,23.38284,7,24.96772,121.54102,47.7,43.9590707694736
"21",21,4.5,2275.877,3,24.96314,121.51151,29.3,29.3289558912939
"22",22,10.5,279.1726,7,24.97528,121.54541,51.6,47.3050804677862
"23",23,14.7,1360.139,1,24.95204,121.54842,24.6,31.8182137384129
"24",24,10.1,279.1726,7,24.97528,121.54541,47.9,47.3050804677862
"25",25,39.6,480.6977,4,24.97353,121.53885,38.8,40.6004100265365
"26",26,29.3,1487.868,2,24.97542,121.51726,27,32.9000253328814
"28",28,10.4,276.449,5,24.95593,121.53913,33.6,36.8755951827563
"31",31,25.9,4519.69,0,24.94826,121.49587,22.1,16.4617389823716
"32",32,29.6,769.4034,7,24.98281,121.53408,25,46.8481312078577
"33",33,37.9,488.5727,1,24.97349,121.53451,34.2,34.9487066511684
"34",34,16.5,323.655,6,24.97841,121.54281,49.3,46.0935332476322
"37",37,14.7,1935.009,2,24.96386,121.51458,22.9,28.7569096373218
"50",50,29.4,4510.359,1,24.94925,121.49542,13.2,18.1832888279387
"53",53,32.1,1438.579,3,24.97419,121.5175,27,34.116661882511
"58",58,3.5,56.47425,7,24.95744,121.53711,53.5,39.90624114362
"59",59,30.3,4510.359,1,24.94925,121.49542,22.6,18.1832888279387
"61",61,11,1931.207,2,24.96365,121.51471,21.3,28.7247695268353
"65",65,17.5,995.7554,0,24.96305,121.54915,25.3,33.7936383949827
"67",67,1,193.5845,6,24.96571,121.54089,50.7,41.7890440522017
"68",68,8.5,104.8101,5,24.96674,121.54067,56.8,40.5167443466236
"69",69,30.4,464.223,6,24.97964,121.53805,36.2,45.3167619822773
"71",71,6.6,90.45606,9,24.97433,121.5431,59,49.5217106660032
"72",72,35.5,640.7391,3,24.97563,121.53715,40.8,39.2945465807444
"73",73,32.5,424.5442,8,24.97587,121.53913,36.3,47.4986304864763
"78",78,20.5,2185.128,3,24.96322,121.51237,25.6,29.5607054144931
"82",82,30.8,377.7956,6,24.96427,121.53964,36.8,41.0518395372203
"84",84,25.3,2707.392,3,24.96056,121.50831,17.7,27.7763429146718
"87",87,1.8,1455.798,1,24.9512,121.549,27,31.7041337753226
"88",88,16.9,4066.587,0,24.94297,121.50342,18.3,16.6839058752585
"89",89,8.9,1406.43,0,24.98573,121.52758,48,35.4474702308926
"92",92,9.1,1402.016,0,24.98569,121.5276,43.2,35.440199060733
"94",94,31.9,1146.329,0,24.9492,121.53076,16.1,25.1664403550576
"97",97,6.4,90.45606,9,24.97433,121.5431,59.5,49.5217106660032
"101",101,17.5,964.7496,4,24.98872,121.53411,38.2,44.0506663475145
"104",104,0,208.3905,6,24.95618,121.53844,45.7,38.3154101786187
"106",106,0,292.9978,6,24.97744,121.54458,71,46.2273309601116
"107",107,17.2,189.5181,8,24.97707,121.54308,47.1,48.8148685714052
"108",108,12.2,1360.139,1,24.95204,121.54842,26.6,31.8182137384129
"111",111,8.1,104.8101,5,24.96674,121.54067,51.6,40.5167443466236
"114",114,14.8,393.2606,6,24.96172,121.53812,7.6,39.9137534659714
"115",115,30.6,143.8383,8,24.98155,121.54142,53.3,49.7692175917303
"118",118,13.6,4197.349,0,24.93885,121.50383,13,15.5367621800688
"121",121,13.3,492.2313,5,24.96515,121.53737,31.3,39.2394226506341
"126",126,1.1,193.5845,6,24.96571,121.54089,48.6,41.7890440522017
"130",130,38.5,216.8329,7,24.98086,121.54162,41,48.0780673909351
"131",131,29.6,535.527,8,24.98092,121.53653,37.5,48.3985151207246
"132",132,4,2147.376,3,24.96299,121.51284,30.7,29.6045723526478
"133",133,26.6,482.7581,5,24.97433,121.53863,37.5,42.3200028912735
"134",134,18,373.3937,8,24.9866,121.54082,39.5,51.151784854593
"136",136,18.9,1009.235,0,24.96357,121.54951,20.8,34.037795221946
"137",137,11.4,390.5684,5,24.97937,121.54245,46.8,44.766274264268
"138",138,13.6,319.0708,6,24.96495,121.54277,47.4,42.0129037906056
"139",139,10,942.4664,0,24.97843,121.52406,43.5,32.3900644529331
"145",145,11.9,1360.139,1,24.95204,121.54842,28.4,31.8182137384129
"150",150,34.9,179.4538,8,24.97349,121.54245,39.7,47.5800528613729
"151",151,35.8,170.7311,7,24.96719,121.54269,48.5,44.2018123114387
"163",163,16,4066.587,0,24.94297,121.50342,11.6,16.6839058752585
"167",167,0,292.9978,6,24.97744,121.54458,73.6,46.2273309601116
"171",171,24,4527.687,0,24.94741,121.49628,14.4,16.3036064967337
"173",173,6.6,90.45606,9,24.97433,121.5431,58.1,49.5217106660032
"174",174,41.3,401.8807,4,24.98326,121.5446,35.1,44.9309602195673
"175",175,4.3,432.0385,7,24.9805,121.53778,45.2,47.0424347759702
"176",176,30.2,472.1745,3,24.97005,121.53758,36.5,37.7106528415253
"179",179,13.1,1144.436,4,24.99176,121.53456,36.7,45.0787176689329
"181",181,26.9,4449.27,0,24.94898,121.49621,15.5,16.7615589652823
"183",183,13.5,2147.376,3,24.96299,121.51284,23.6,29.6045723526478
"185",185,14.1,2615.465,0,24.95495,121.56174,21.8,34.3822812615699
"189",189,34.8,190.0392,8,24.97707,121.54312,44.3,48.824522223976
"190",190,16.3,4066.587,0,24.94297,121.50342,20.5,16.6839058752585
"193",193,43.8,57.58945,7,24.9675,121.54069,42.7,43.812889155289
"194",194,9.7,421.479,5,24.98246,121.54477,49.3,46.2607563390003
"195",195,15.2,3771.895,0,24.93363,121.51158,29.3,15.8283688296015
"198",198,34.4,126.7286,8,24.96881,121.54089,48.2,45.7880948267405
"202",202,13.1,561.9845,5,24.98746,121.54391,45.9,47.5654523645846
"203",203,38.3,642.6985,3,24.97559,121.53713,31.5,39.2776217580141
"206",206,12.8,1449.722,3,24.97289,121.51728,21.4,33.6703819088317
"214",214,6.2,90.45606,9,24.97433,121.5431,58,49.5217106660032
"216",216,19.2,383.7129,8,24.972,121.54477,48.1,47.6893143429091
"219",219,13.6,492.2313,5,24.96515,121.53737,43.8,39.2394226506341
"220",220,29.3,529.7771,8,24.98102,121.53655,40.2,48.4335869381296
"222",222,9,1402.016,0,24.98569,121.5276,38.5,35.440199060733
"223",223,30.6,431.1114,10,24.98123,121.53743,48.5,51.7709378259554
"224",224,9.1,1402.016,0,24.98569,121.5276,42.3,35.440199060733
"229",229,11.9,3171.329,0,25.00115,121.51776,46.6,37.7412761547575
"230",230,31,1156.412,0,24.9489,121.53095,19,25.1215602314223
"231",231,4,2147.376,3,24.96299,121.51284,33.4,29.6045723526478
"238",238,13,732.8528,0,24.97668,121.52518,39,32.131079380395
"240",240,18.1,837.7233,0,24.96334,121.54767,29.7,33.5241637240497
"242",242,13.7,250.631,7,24.96606,121.54297,41.4,43.9276194798133
"244",244,32.8,204.1705,8,24.98236,121.53923,48.2,49.4856645414505
"246",246,7.5,639.6198,5,24.97258,121.54814,40.8,44.0858714457774
"248",248,21.7,1055.067,0,24.96211,121.54928,23.1,33.5407098493361
"249",249,19,1009.235,0,24.96357,121.54951,22.3,34.037795221946
"250",250,18,6306.153,1,24.95743,121.47516,15,15.767754073514
"253",253,5.9,90.45606,9,24.97433,121.5431,52.7,49.5217106660032
"256",256,31.5,5512.038,1,24.95095,121.48458,17.4,16.0813138298509
"260",260,17.7,837.7233,0,24.96334,121.54767,28.8,33.5241637240497
"261",261,17,1485.097,4,24.97073,121.517,30.7,34.4802425576255
"262",262,16.2,2288.011,3,24.95885,121.51359,24.4,28.5334357060975
"263",263,15.9,289.3248,5,24.98203,121.54348,53,45.8193725817393
"264",264,3.9,2147.376,3,24.96299,121.51284,31.7,29.6045723526478
"271",271,10.8,252.5822,1,24.9746,121.53046,117.5,34.3069937296323
"275",275,27.5,394.0173,7,24.97305,121.53994,41,45.3104801765996
"276",276,1.5,23.38284,7,24.96772,121.54102,49.7,43.9590707694736
"277",277,19.1,461.1016,5,24.95425,121.5399,34,36.5533121439914
"280",280,2.6,1554.25,3,24.97026,121.51642,31.1,32.6673851121287
"281",281,2.3,184.3302,6,24.96581,121.54086,45.4,41.8120488038869
"290",290,13.9,289.3248,5,24.98203,121.54348,44.5,45.8193725817393
"294",294,12.6,383.2805,7,24.96735,121.54464,42.5,44.7208198601268
"295",295,26.4,335.5273,6,24.9796,121.5414,38.1,46.1131573887598
"296",296,18.2,2179.59,3,24.96299,121.51252,21.8,29.5273431320676
"297",297,12.5,1144.436,4,24.99176,121.53456,34.1,45.0787176689329
